['note_on', 'channel=0', 'note=51', 'velocity=37', 'time=0.016666666666666666', 329002.82118055684, 102973.4008870291]
['note_on', 'channel=0', 'note=63', 'velocity=27', 'time=0.010416666666666666', 329013.6718750013, 102994.02289539728]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=0.6791666666666667', 329721.1371527791, 104338.577841004]
['note_on', 'channel=0', 'note=70', 'velocity=0', 'time=0.07604166666666666', 329800.3472222235, 104489.11850209186]
['note_on', 'channel=0', 'note=75', 'velocity=0', 'time=0.16666666666666666', 329973.95833333465, 104819.07063598308]
['note_on', 'channel=0', 'note=56', 'velocity=0', 'time=0.04895833333333333', 330024.9565972235, 104915.99407531359]
['note_on', 'channel=0', 'note=51', 'velocity=0', 'time=0.029166666666666667', 330055.33854166797, 104973.73569874454]
['note_on', 'channel=0', 'note=54', 'velocity=0', 'time=0.0020833333333333333', 330057.50868055684, 104977.86010041815]
['note_on', 'channel=0', 'note=96', 'velocity=38', 'time=1.0666666666666667', 331168.61979166797, 107089.55375732189]
['note_on', 'channel=0', 'note=92', 'velocity=68', 'time=0.06458333333333333', 331235.8940972235, 107217.41020920475]
['note_on', 'channel=0', 'note=96', 'velocity=0', 'time=0.096875', 331336.80555555684, 107409.19488702898]
['note_on', 'channel=0', 'note=89', 'velocity=53', 'time=0.003125', 331340.06076389016, 107415.38148953939]
